Model,Accuracy,Precision,Recall,F1_Score,ROC_AUC
Random Forest,0.9051724137931034,0.9714285714285714,0.7727272727272727,0.8607594936708861,0.975378787878788
SVM,0.7672413793103449,0.7575757575757576,0.5681818181818182,0.6493506493506493,0.8876262626262628
